자치구,승하차,노인인구,양로시설수,양로시설정원,양로시설현원,양로시설종사자수,요양시설수,요양시설정원,요양시설현원,요양시설종사자수,노인복지시설수,노인복지종사자수,경로당,노인교실,노인일자리시설수,노인일자리종사자수
송파구,15540698,"93,309",1,12,12,5,8,658,614,441,3,48,172,17,1,9
강남구,17425049,"74,959",0,0,0,0,4,215,63,48,6,94,167,22,1,7
강동구,11581597,"69,903",1,124,84,24,8,495,372,258,3,139,121,10,1,7
서초구,11696077,"60,072",0,0,0,0,4,322,305,215,4,130,141,6,0,0
노원구,12334867,"85,420",2,124,81,31,11,884,808,533,3,125,243,13,1,6
강서구,8317204,"88,733",1,25,24,17,18,"1,017",933,619,5,97,218,25,1,6
영등포구,6448615,"60,663",0,0,0,0,1,118,116,87,1,27,174,27,1,6
관악구,9236593,"78,430",0,0,0,0,10,435,405,296,1,33,114,19,1,6
성북구,6467009,"73,613",0,0,0,0,16,715,613,400,6,110,175,9,1,6
은평구,12361204,"85,010",1,25,18,7,15,"1,070",986,639,7,170,154,17,1,6
동대문구,10266951,"61,612",0,0,0,0,4,224,208,140,1,41,134,16,1,5
중랑구,5719284,"69,341",0,0,0,0,10,859,781,512,5,156,127,11,0,0
구로구,8048800,"69,201",0,0,0,0,10,913,751,499,2,44,199,20,1,6
종로구,22039837,"28,311",1,57,45,14,8,347,325,245,3,111,63,9,1,6
마포구,5881397,"54,002",0,0,0,0,2,284,280,201,4,70,154,11,1,7
동작구,10736494,"64,928",0,0,0,0,3,190,179,117,3,63,140,8,0,0
중구,16276987,"24,174",0,0,0,0,2,74,72,61,2,66,48,4,0,0
도봉구,5119901,"62,009",1,26,21,7,21,848,780,518,5,95,135,9,1,6
강북구,5709043,"63,313",0,0,0,0,8,503,482,322,1,35,100,17,0,0
광진구,9415599,"50,311",1,760,554,73,8,487,453,295,1,63,95,10,1,6
양천구,4185988,"65,541",0,0,0,0,13,656,626,438,4,142,164,23,1,6
서대문구,4959137,"53,756",0,0,0,0,10,388,328,247,4,96,111,12,1,6
성동구,7078565,"45,435",0,0,0,0,3,391,359,234,4,82,162,13,0,0
용산구,6693008,"39,779",0,0,0,0,3,194,195,136,2,75,88,20,0,0
금천구,916795,"39,314",2,92,79,20,12,586,537,384,3,113,73,7,1,6
